wavelength,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
250.0,70.0,-220.685,-69.077,-53.925,56.764,288.191,156.793,204.28,55.253,55.665,138.392,-2.661,256.528,286.831,217.335,-199.02,110.528,94.383,118.986,381.225,295.715,138.245,-119.287,105.86,233.685,239.811,-220.785,-149.851,-32.762,-153.384,161.665,-131.56,139.918,422.293,-57.621,220.728,193.101,5.531,-515.504,353.294,41.9,355.04,-165.262,30.856,19.692,-290.061,78.82,-28.238,-132.751,101.844,217.326,248.249,76.419,70.845,-8.555,276.063,-22.843,-65.78,137.631,-17.276,-132.362,285.24,190.414,-11.601,17.415,-156.979,37.846,-67.025,20.427,-198.405,293.096,254.774,23.436,-172.693,418.344,-49.618,-128.418,70.08,-110.92,-181.456,111.727,-11.728,243.685,5.886,-394.159,126.356,123.766,17.697,277.324,-218.704,44.285,-65.001,192.052,-147.902,-144.483,-65.027,8.886,26.638,1415.897,142.429
250.06,-7.5,172.49,15.35,12.839,-10.321,15.578,-99.302,-54.999,-26.311,-18.555,-79.842,-85.14,-13.361,34.849,-61.712,-94.131,-105.137,-72.81,-135.211,221.705,-16.278,216.856,-92.176,-10.857,-95.104,98.104,-92.675,158.024,-30.031,104.082,123.303,112.374,19.204,-38.39,-71.341,-68.978,124.137,82.97,130.262,-100.146,-153.634,-100.641,-16.806,-11.22,-98.46,81.668,191.42,-39.534,-98.857,-132.963,39.514,-28.21,113.214,201.199,111.213,-48.382,37.12,11.44,0.0,-100.774,149.627,63.387,109.632,101.507,142.221,-2.907,8.734,151.535,5.836,119.627,-29.31,-111.281,-64.448,-32.197,102.392,207.229,-29.186,55.48,-72.973,84.874,-38.222,-102.617,275.98,58.856,261.792,-14.693,44.202,17.697,138.662,-53.198,250.946,35.455,32.501,0.0,188.713,8.867,109.6,2.96,1357.579,86.051
250.13,62.5,129.367,-51.168,-133.529,98.047,142.797,-2.613,75.95,-63.146,66.268,-133.07,93.122,-77.493,0.0,72.445,277.015,269.581,-199.553,-27.042,-5.407,211.613,-154.51,159.953,114.003,-165.753,-43.602,-62.692,267.007,-141.967,208.164,-16.44,180.895,-32.922,337.286,-351.216,46.905,11.034,77.438,121.947,-33.382,145.254,72.685,-100.838,-64.517,67.515,-118.277,-81.635,16.943,-16.947,-25.461,-28.224,183.366,-104.723,-130.355,-22.813,-17.076,-94.228,-168.739,-269.527,230.34,100.711,195.922,-204.839,353.824,-20.317,46.512,-8.734,-43.712,306.406,-405.563,55.688,29.284,530.23,-166.839,-35.106,-84.643,70.046,140.161,294.813,-52.681,244.035,155.391,-91.015,11.771,-47.064,-61.709,-129.66,85.536,-156.363,112.308,-194.852,295.458,197.962,62.119,-94.356,124.142,-331.763,0.0,1146.804,-2.967
250.19,-185.0,-71.025,10.234,141.233,51.604,-7.789,391.982,96.902,173.652,76.87,162.345,13.303,16.033,-91.143,2.683,-99.51,221.057,2.697,102.76,91.927,113.945,-10.843,-181.641,-32.572,146.732,-119.905,10.903,100.809,193.839,-93.126,306.889,32.89,-98.766,-285.185,8.232,-13.796,-262.066,190.83,-66.517,-242.02,150.841,220.851,103.639,-151.475,53.449,-87.3,2.815,234.378,110.155,-138.621,14.112,-149.514,178.312,34.006,-219.574,207.759,-71.385,25.74,40.142,-161.238,20.142,-100.842,-118.287,-78.305,101.586,-66.861,-98.981,160.278,318.078,177.981,-17.586,87.853,190.414,-81.956,-5.851,253.929,90.476,87.6,113.839,254.623,-64.684,111.412,-217.261,-170.682,429.457,-85.217,-14.734,82.587,-32.453,141.862,-245.041,2.955,130.005,319.468,-32.435,248.283,8.886,-147.987,837.536,74.182
250.25,242.5,68.489,212.348,-46.222,327.684,23.367,54.878,-193.804,155.235,193.501,-61.212,228.813,181.707,251.983,244.167,-250.12,248.015,2.697,16.225,-97.334,-341.836,-178.906,121.998,-203.576,135.863,474.171,373.427,122.605,-84.634,-95.865,-509.654,317.937,52.126,79.523,-93.292,104.846,-248.273,27.657,-216.179,16.691,92.181,-433.316,-86.833,-238.433,33.758,368.913,-264.61,352.978,87.559,87.699,-352.802,-112.84,-260.392,130.355,85.548,-139.455,165.612,248.819,-174.906,0.0,-673.322,187.279,-40.391,-205.914,194.465,-334.306,34.935,125.308,353.096,-166.31,-79.136,468.55,131.825,146.35,-169.678,-70.049,-58.372,522.683,-315.245,292.67,302.838,-111.412,167.35,-123.597,-241.202,35.262,-303.522,554.509,-289.125,153.684,-94.474,109.319,-44.32,23.664,-29.486,17.735,-242.898,435.081,483.747,201.774
250.32,57.5,65.952,76.752,59.061,69.665,-51.926,146.34,70.712,-47.36,-113.98,-106.456,-31.927,-24.049,-75.059,-96.593,91.442,35.046,94.383,-37.859,8.111,-67.825,113.849,121.998,-5.429,62.497,-103.555,190.802,46.317,70.983,30.129,98.643,68.521,46.639,21.937,24.695,52.423,63.448,60.844,55.43,105.71,67.04,-117.415,106.44,33.661,191.293,-61.955,106.97,76.243,-115.804,14.145,-39.514,129.766,42.455,232.371,62.736,105.302,39.975,-82.94,-114.692,95.015,143.872,-97.961,-17.31,40.603,29.025,63.954,32.023,-69.939,169.253,81.696,93.791,-96.638,-41.012,-20.489,26.329,17.512,61.29,-43.8,26.27,108.288,-20.581,-2.932,214.325,-47.085,100.011,-35.262,-64.83,168.123,79.657,23.644,203.709,-115.229,26.592,118.321,129.74,227.593,103.676,177.584,139.399,23.738
250.38,-37.5,53.269,30.701,-28.247,379.288,163.568,60.104,-81.188,115.768,39.761,191.62,2.661,21.377,305.596,-72.445,-53.789,175.228,134.833,100.056,194.668,-46.121,92.164,-75.91,192.719,38.042,84.479,76.321,-84.461,-27.301,-10.956,-158.924,123.338,-32.922,-198.832,-101.523,113.123,8.276,157.642,108.089,-38.946,-220.675,-89.459,11.204,70.127,146.283,-157.703,-160.455,129.896,48.016,-144.279,-50.804,-70.525,22.643,-19.837,-219.574,-93.918,-125.637,-37.18,68.815,319.597,-117.975,74.911,-222.15,275.519,-31.927,90.117,104.804,-238.96,-93.381,-49.601,114.308,17.571,155.261,-169.766,20.478,2.919,-134.255,-49.64,-46.703,222.43,135.248,17.591,123.31,-73.57,32.356,11.754,185.649,-58.99,23.602,-23.644,-50.189,67.955,8.864,70.993,209.353,174.39,228.087,186.463,-59.319,-26.705
250.45,332.5,-190.246,-184.205,-223.404,-85.146,-342.713,195.991,-327.372,89.457,458.572,223.557,7.982,387.464,361.89,-265.632,403.42,269.581,-501.58,-5.408,635.375,-214.326,151.799,300.928,-195.433,480.956,305.213,-411.587,-365.091,57.333,-243.771,-120.563,315.196,-367.628,-417.643,-30.183,-256.597,-1028.954,80.204,-241.123,497.95,307.269,-232.034,280.106,-552.603,84.394,228.106,537.664,-420.75,-225.96,514.879,-381.026,121.303,-19.812,-578.094,-245.239,133.763,-334.08,-271.699,-590.665,192.91,34.529,800.977,106.747,-301.621,458.59,194.77,-11.645,-582.828,-268.47,192.57,161.203,251.845,-169.908,-99.518,289.622,-265.604,72.965,0.0,248.11,26.34,-26.462,-2.932,-566.641,620.93,588.297,-493.669,259.319,-165.173,91.458,-156.639,-5.905,5.909,-286.601,147.902,-23.589,-29.558,5.924,-594.906,124.569,-178.036
250.51,-42.5,86.245,-28.142,-23.111,170.292,109.045,-10.453,15.714,192.07,151.09,125.085,95.782,-72.148,335.083,85.861,86.063,-250.71,210.34,-216.337,-10.815,-24.417,241.252,-86.754,-176.433,-146.732,125.356,-114.481,201.617,245.712,0.0,194.546,-158.968,41.152,-605.651,115.243,-297.983,99.309,160.408,207.864,-108.492,-25.14,8.387,336.127,42.076,-109.712,8.448,-16.89,-16.943,-81.91,-135.792,16.935,-50.778,-48.116,-130.355,39.923,133.763,211.298,71.5,91.754,230.34,161.137,126.773,144.253,127.609,-17.415,-69.768,131.005,-189.419,180.925,128.38,90.86,161.064,55.659,102.445,-29.255,11.675,119.662,338.722,-5.838,-365.838,-179.351,184.71,246.621,235.424,-2.941,2.939,138.5,17.697,-156.363,124.129,61.998,-44.319,-159.551,5.916,32.435,-41.381,32.584,150.946,97.876,-139.462
250.58,70.0,126.831,-10.234,146.368,-46.443,-114.238,198.604,240.946,49.991,-257.118,178.313,-85.14,69.476,-171.563,-59.029,104.889,148.27,237.307,-16.225,29.741,84.103,97.585,203.33,320.293,152.167,277.962,-81.772,-133.503,163.808,-131.472,-186.325,5.482,-224.967,-734.009,128.962,-60.7,68.965,-71.907,102.546,-33.382,201.121,-16.774,260.498,-42.076,42.197,53.506,126.675,64.948,-118.629,226.32,-115.719,70.525,152.839,-11.335,-370.71,-54.074,194.166,317.459,-43.01,0.0,40.284,155.585,242.345,-89.906,60.952,26.163,-46.579,-259.359,189.68,-242.171,35.172,169.849,281.227,64.394,149.199,8.756,-37.942,157.681,-277.299,-219.503,211.693,38.115,5.872,-20.6,100.011,91.094,-238.692,106.183,35.403,-5.911,153.52,100.456,20.683,0.0,-100.254,94.584,225.125,-73.993,403.368,-41.542
